"lganame","n_cells","mean_mmr","max_mmr"
"Ajingi",24,35.8447541425859,39.5640042104236
"Bunkure",13,34.0409384543149,35.566942463253
"Gaya",9,33.8638789201638,36.2406793566219
"Takai",8,34.3114441119067,36.1355844942827
"Warawa",8,34.0736817288656,35.906324357224
"Wudil",5,34.1387283263901,35.888670571385
"Rano",3,33.2871279568135,34.1204323923131
"Sumaila",3,33.503495078442,34.2958577431387
"Albasu",2,33.5637054614559,34.3399719907704
"Doguwa",2,33.6371376906243,33.7086406494555
"Kunchi",2,33.69096597081,33.7782979967189
"Kura",2,33.5151098909893,33.7484625094887
"Shanono",2,33.1933614166411,33.6008928315901
"Gabasawa",1,32.7793498193472,32.7793498193472
"Garun Malam",1,32.5623710834701,32.5623710834701
"Gezawa",1,32.5765316954951,32.5765316954951
"Tudun Wada",1,33.4686471999664,33.4686471999664
