"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",7.06353208960428,6.42831400175223,1.09881565954602,0.284900601632611,"Original"
"depr",2.09748014221315,3.13420315241644,0.669222778554099,0.511005533837495,"Original"
"pop_dens",-0.00255166163966512,0.00124484231130576,-2.04978704249584,0.0537276605249845,"Original"
"dist_km",1.0912675683854,0.332290171378935,3.28408018767714,0.00370941385920054,"Original"
"(Intercept)",14.2779633062587,9.92760102619112,1.43820881485773,0.167534952480961,"Enhanced"
"depr",2.36651133356571,3.4705342127485,0.681886761084987,0.503990946713609,"Enhanced"
"pop_dens",-0.00254864613227775,0.00128319428531339,-1.98617322524571,0.0624578834900969,"Enhanced"
"dist_km",0.725573376830143,0.506119935629805,1.43359967816177,0.168829451593066,"Enhanced"
"facility_dens",-0.332658470578238,0.428349649994661,-0.776604978158343,0.44747769444357,"Enhanced"
"urban",-4.69329066392567,5.50266137958674,-0.852912861644804,0.404914466701275,"Enhanced"
"(Intercept)",6.19972520775645,9.66357343966366,0.641556174479927,0.533224403530018,"10km sensitivity"
"depr",0.183320065508533,4.49339225506238,0.0407976991774978,0.968128109701704,"10km sensitivity"
"pop_dens",-0.00206950725199393,0.0023202994024889,-0.891913883947064,0.389973557238782,"10km sensitivity"
"dist_km",0.174493231733596,0.287334455228746,0.607282658095015,0.554980802607975,"10km sensitivity"
